"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8"
"1","friend","moment","went","like","abl","made","got","new"
"2","time","life","see","will","good","wife","work","play"
"3","day","one","enjoy","just","get","dinner","job","watch"
"4","year","event","girlfriend","want","final","home","receiv","game"
"5","famili","happi","nice","even","start","son","money","found"
"6","first","feel","realli","much","realli","make","get","bought"
"7","old","can","day","take","hour","came","complet","favorit"
"8","birthday","thing","dog","come","night","daughter","project","won"
"9","long","use","took","home","felt","lunch","finish","car"
"10","school","mani","movi","one","feel","great","promot","video"
"11","talk","live","saw","told","great","gave","free","show"
"12","visit","peopl","morn","back","help","one","hard","purchas"
"13","best","good","walk","know","week","eat","compani","team"
"14","surpris","person","trip","alway","hous","sister","offic","buy"
"15","celebr","also","weekend","love","back","mother","order","store"
"16","brother","make","kid","plan","two","food","pay","onlin"
"17","met","well","run","call","now","ate","manag","ticket"
"18","togeth","anoth","shop","decid","ive","love","done","dollar"
"19","spend","posit","vacat","ask","book","night","hit","excit"
"20","parti","state","fun","wait","sleep","first","call","phone"
